item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
1.,Paint Transfer,,,,,,,,,,,,1.,paint transfer,,,,,,,Mechanics,A
1.1,"Roller bed conveyor for Belt lifter  (1 engine, 6 support rollers)",6410.0,0.0,6410.0,,2.0,pcs.,12820.0,For Belt Lifter '6000mm',,,,1.1,"roller bed conveyor for belt lifter  (1 engine, 6 support rollers)",,pcs.,for belt lifter '6000mm',,,,Mechanics,A
1.2,"Drive unit belt lifter( engine, transmission, FU( Motec, Protec), brake resistor, Inni's, engine cable)",13218.8838004571,0.0,13218.8838004571,,2.0,pcs.,26437.7676009142,Update Belt Lifter,,,,1.2,"drive unit belt lifter( engine, transmission, fu( motec, protec), brake resistor, inni's, engine cable)",,pcs.,update belt lifter,,,,Mechanics,A
1.3,Pulling equipment belt lifter,1299.4649528293783,0.0,1299.4649528293783,,2.0,pcs.,2598.9299056587565,Update Belt Lifter,,,,1.3,pulling equipment belt lifter,,pcs.,update belt lifter,,,,Mechanics,A
1.4,Lifting carriage belt lifter,6016.041448284158,0.0,6016.041448284158,,2.0,pcs.,12032.082896568316,Update Belt Lifter,,,,1.4,lifting carriage belt lifter,,pcs.,update belt lifter,,,,Mechanics,A
1.5,Drop protection belt lifter,1968.8862921657244,0.0,1968.8862921657244,,2.0,pcs.,3937.772584331449,Update Belt Lifter,,,,1.5,drop protection belt lifter,,pcs.,update belt lifter,,,,Mechanics,A
1.6,Counterweight belt lifter,7219.24973794099,0.0,7219.24973794099,,2.0,pcs.,14438.49947588198,Update Belt Lifter,,,,1.6,counterweight belt lifter,,pcs.,update belt lifter,,,,Mechanics,A
1.7,Detachable parts belt lifter,,0.0,0.0,,2.0,pcs.,0.0,Update Belt Lifter,,,,1.7,detachable parts belt lifter,,pcs.,update belt lifter,,,,Mechanics,A
1.8,Swivel lock belt lifter,8859.98831474576,0.0,8859.98831474576,,2.0,pcs.,17719.97662949152,Update Belt Lifter,,,,1.8,swivel lock belt lifter,,pcs.,update belt lifter,,,,Mechanics,A
1.9,Other belt lifter,30733.221194989077,0.0,30733.221194989077,,2.0,pcs.,61466.442389978154,Update Belt Lifter,,,,1.9,other belt lifter,,pcs.,update belt lifter,,,,Mechanics,A
1.10,"Roller bed conveyor, 1 drive, 6-7 support rollers",7329.0,0.0,7329.0,,4.0,pcs.,29316.0,Roller Beds before and after the Belt Lifter,,,,1.10,"roller bed conveyor, 1 drive, 6-7 support rollers",,pcs.,roller beds before and after the belt lifter,,,,Mechanics,A
1.11,Scissor lift with roller bed conveyor,47177.0,0.0,47177.0,,1.0,pcs.,47177.0,Hand Over Paint Skid to EMS,,,,1.11,scissor lift with roller bed conveyor,,pcs.,hand over paint skid to ems,,,,Mechanics,A
,reduction if eccentric lift instead of scissor lift for item 1.11  OPTION,-20815.0,0.0,-20815.0,,0.0,pcs.,0.0,"klick 1 in amount to see the result,  min. 600 mm conveying height or pit is needed !",,,,,reduction if eccentric lift instead of scissor lift for item 1.11  option,,pcs.,"klick 1 in amount to see the result,  min. 600 mm conveying height or pit is needed !",,,,Mechanics,A
1.12,"Docking link at the roller conveyor with interlock during the transfer, inquiry with the aid of sensor systems",4321.0,0.0,4321.0,,1.0,pcs.,4321.0,"Hand Over Paint Skid to EMS, Locking Skids",,,,1.12,"docking link at the roller conveyor with interlock during the transfer, inquiry with the aid of sensor systems",,pcs.,"hand over paint skid to ems, locking skids",,,,Mechanics,A
1.13,Mechanical installation on-site total RfQ,0.0,0.0,0.0,,1.0,pcs.,0.0,Dismanteling Belt Lifter / Hand Over Staion,,,,1.13,mechanical installation on-site total rfq,,pcs.,dismanteling belt lifter / hand over staion,,,,Mechanics,A
1.14,"Corner transfer, lift table with roller conveyor for longitudinal and cross transport, frequency controlled, powered",24665.0,0.0,24665.0,,2.0,pcs.,49330.0,,,,,1.14,"corner transfer, lift table with roller conveyor for longitudinal and cross transport, frequency controlled, powered",,pcs.,,,,,Mechanics,A
1.15,Portal with red curtains adapted to conveyed material,0.0,0.0,0.0,,4.0,pcs.,0.0,,,,,1.15,portal with red curtains adapted to conveyed material,,pcs.,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
1.,Total Price:,,,,,,,281595.47148282436,,,,,1.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
2.,,,,,,,,,,X,X,X,2.,,,,,x,x,x,Mechanics,A
2.1,,,,0.0,,,,0.0,,,,,2.1,,,,,,,,Mechanics,A
2.2,,,,0.0,,,,0.0,,,,,2.2,,,,,,,,Mechanics,A
2.3,,,,0.0,,,,0.0,,,,,2.3,,,,,,,,Mechanics,A
2.4,,,,0.0,,,,0.0,,,,,2.4,,,,,,,,Mechanics,A
2.5,,,,0.0,,,,0.0,,,,,2.5,,,,,,,,Mechanics,A
2.6,,,,0.0,,,,0.0,,,,,2.6,,,,,,,,Mechanics,A
2.7,,,,0.0,,,,0.0,,,,,2.7,,,,,,,,Mechanics,A
2.8,,,,0.0,,,,0.0,,,,,2.8,,,,,,,,Mechanics,A
2.9,,,,0.0,,,,0.0,,,,,2.9,,,,,,,,Mechanics,A
2.10,,,,0.0,,,,0.0,,,,,2.10,,,,,,,,Mechanics,A
2.11,,,,0.0,,,,0.0,,,,,2.11,,,,,,,,Mechanics,A
2.12,,,,0.0,,,,0.0,,,,,2.12,,,,,,,,Mechanics,A
2.13,,,,0.0,,,,0.0,,,,,2.13,,,,,,,,Mechanics,A
2.14,,,,0.0,,,,0.0,,,,,2.14,,,,,,,,Mechanics,A
2.15,,,,0.0,,,,0.0,,,,,2.15,,,,,,,,Mechanics,A
2.16,,,,0.0,,,,0.0,,,,,2.16,,,,,,,,Mechanics,A
2.17,,,,0.0,,,,0.0,,,,,2.17,,,,,,,,Mechanics,A
2.18,,,,0.0,,,,0.0,,,,,2.18,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,0.0,,,,0.0,,,,,,,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
2.,"Total Price: 
",,,,,,,0.0,,,,,2.,total price:,,,,,,,Mechanics,A
,,,,,,,,,,,,,,,,,,,,,Mechanics,A
3.,,,,,,,,,,,,,3.,,,,,,,,Mechanics,A
