item_id,Scope - Mechanics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,item_id_norm,Scope - Mechanics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,scope_category,vendor_id
,,,,,,,,,,,,,,,,,,,,,ATS Mechanics v2,B
1.,Paint Transfer,,,,,,,,,,,,1.,paint transfer,,,,,,,ATS Mechanics v2,B
1.1,"Roller bed conveyor for Belt lifter  (1 engine, 6 support rollers)",11994.270036846883,0.0,11994.270036846883,,2.0,pcs.,23988.540073693766,For Belt Lifter '6000mm',,,,1.1,"roller bed conveyor for belt lifter  (1 engine, 6 support rollers)",,pcs.,for belt lifter '6000mm',,,,ATS Mechanics v2,B
1.2,"Drive unit belt lifter( engine, transmission, FU( Motec, Protec), brake resistor, Inni's, engine cable)",113000.50375957447,0.0,113000.50375957447,,2.0,pcs.,226001.00751914893,Update Belt Lifter,,,,1.2,"drive unit belt lifter( engine, transmission, fu( motec, protec), brake resistor, inni's, engine cable)",,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.3,Pulling equipment belt lifter,,,,,,pcs.,,Update Belt Lifter,,,,1.3,pulling equipment belt lifter,,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.4,Lifting carriage belt lifter,,,,,,pcs.,,Update Belt Lifter,,,,1.4,lifting carriage belt lifter,,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.5,Drop protection belt lifter,,,,,,pcs.,,Update Belt Lifter,,,,1.5,drop protection belt lifter,,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.6,Counterweight belt lifter,,,,,,pcs.,,Update Belt Lifter,,,,1.6,counterweight belt lifter,,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.7,Detachable parts belt lifter,,,,,,pcs.,,Update Belt Lifter,,,,1.7,detachable parts belt lifter,,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.8,Swivel lock belt lifter,,,,,,pcs.,,Update Belt Lifter,,,,1.8,swivel lock belt lifter,,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.9,Other belt lifter,,,,,,pcs.,,Update Belt Lifter,,,,1.9,other belt lifter,,pcs.,update belt lifter,,,,ATS Mechanics v2,B
1.10,"Roller bed conveyor, 1 drive, 6-7 support rollers",11994.270036846883,0.0,11994.270036846883,,4.0,pcs.,47977.08014738753,Roller Beds before and after the Belt Lifter,,,,1.10,"roller bed conveyor, 1 drive, 6-7 support rollers",,pcs.,roller beds before and after the belt lifter,,,,ATS Mechanics v2,B
1.11,Scissor lift with roller bed conveyor,68281.31341897455,0.0,68281.31341897455,,1.0,pcs.,68281.31341897455,Hand Over Paint Skid to EMS,,,,1.11,scissor lift with roller bed conveyor,,pcs.,hand over paint skid to ems,,,,ATS Mechanics v2,B
