scope_category,vendor_a_idx,vendor_b_idx,method,confidence
Steelwork,0.0,,UNMATCHED,UNMATCHED
Steelwork,15.0,,UNMATCHED,UNMATCHED
Steelwork,17.0,,UNMATCHED,UNMATCHED
Steelwork,18.0,,UNMATCHED,UNMATCHED
Steelwork,19.0,,UNMATCHED,UNMATCHED
Steelwork,20.0,,UNMATCHED,UNMATCHED
Steelwork,22.0,,UNMATCHED,UNMATCHED
Steelwork,24.0,,UNMATCHED,UNMATCHED
Steelwork,25.0,,UNMATCHED,UNMATCHED
Steelwork,26.0,,UNMATCHED,UNMATCHED
Steelwork,27.0,,UNMATCHED,UNMATCHED
Steelwork,29.0,,UNMATCHED,UNMATCHED
Steelwork,31.0,,UNMATCHED,UNMATCHED
Steelwork,32.0,,UNMATCHED,UNMATCHED
Steelwork,33.0,,UNMATCHED,UNMATCHED
Steelwork,34.0,,UNMATCHED,UNMATCHED
Steelwork,36.0,,UNMATCHED,UNMATCHED
Steelwork,38.0,,UNMATCHED,UNMATCHED
Steelwork,39.0,,UNMATCHED,UNMATCHED
Steelwork,40.0,,UNMATCHED,UNMATCHED
Steelwork,41.0,,UNMATCHED,UNMATCHED
Steelwork,43.0,,UNMATCHED,UNMATCHED
Steelwork,44.0,,UNMATCHED,UNMATCHED
Steelwork,50.0,,UNMATCHED,UNMATCHED
Steelwork,51.0,,UNMATCHED,UNMATCHED
Steelwork,52.0,,UNMATCHED,UNMATCHED
Steelwork,53.0,,UNMATCHED,UNMATCHED
Steelwork,54.0,,UNMATCHED,UNMATCHED
Steelwork,55.0,,UNMATCHED,UNMATCHED
Steelwork,56.0,,UNMATCHED,UNMATCHED
Steelwork,57.0,,UNMATCHED,UNMATCHED
Steelwork,58.0,,UNMATCHED,UNMATCHED
Steelwork,59.0,,UNMATCHED,UNMATCHED
Steelwork,60.0,,UNMATCHED,UNMATCHED
Steelwork,61.0,,UNMATCHED,UNMATCHED
Steelwork,62.0,,UNMATCHED,UNMATCHED
Steelwork,63.0,,UNMATCHED,UNMATCHED
Steelwork,64.0,,UNMATCHED,UNMATCHED
