scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence,score
Steelwork,Steelwork,Steelwork,1.0,1.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,2.0,2.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,3.0,3.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,4.0,4.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,5.0,5.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,6.0,6.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,7.0,7.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,8.0,8.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,9.0,9.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,10.0,10.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,11.0,11.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,12.0,12.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,13.0,13.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,14.0,14.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,16.0,16.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,21.0,21.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,23.0,23.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,28.0,28.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,30.0,30.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,35.0,35.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,37.0,37.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,42.0,42.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,45.0,45.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,46.0,46.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,47.0,47.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,48.0,48.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,49.0,49.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,0.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,15.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,17.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,18.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,19.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,20.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,22.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,24.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,25.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,26.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,27.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,29.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,31.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,32.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,33.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,34.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,36.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,38.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,39.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,40.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,41.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,43.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,44.0,,UNMATCHED,UNMATCHED,0.0
