scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence,score,vendor_a_total,vendor_b_total,price_delta_abs,price_delta_pct,qty_mismatch
Steelwork,Steelwork,Steelwork,1,1,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,Steelwork,Steelwork,2,2,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Steelwork,Steelwork,Steelwork,3,3,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Steelwork,Steelwork,Steelwork,4,4,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,False
Steelwork,Steelwork,Steelwork,5,5,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,6,6,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,7,7,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,8,8,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,9,9,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,10,10,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,11,11,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,12,12,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,13,13,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,14,14,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,16,16,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,Steelwork,Steelwork,21,21,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,23,23,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,Steelwork,Steelwork,28,28,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,30,30,ITEM_ID_EXACT,AUTO,100.0,,,,,True
Steelwork,Steelwork,Steelwork,35,35,ITEM_ID_EXACT,AUTO,100.0,0.0,0.0,0.0,,True
Steelwork,Steelwork,Steelwork,37,37,ITEM_ID_EXACT,AUTO,100.0,,,,,True
